Year,Jan Temp_F,Feb Temp_F,March Temp_F,April Temp_F,May Temp_F,June Temp_F
1970,30,37.3,33,42,58.1,64.6
1971,29.3,30,37.6,46.8,54.3,67.7
1972,26.9,36.9,45,48.5,56.3,67.7
1973,26.4,31.6,37.5,42.3,55.4,66.7
1974,24.7,35.3,41.7,47.1,60.4,66.5
1975,30,29.9,36.8,43.2,53.3,63.4
1976,28.3,36.7,37.2,48.5,56.1,64.9
1977,25.7,36.9,39,50.3,60,71
1978,23.6,27.9,42.5,49.6,54.1,66.2
1979,16.8,32,40.7,48.6,53.8,64.9
1980,23.6,29.8,35.3,46.2,54.5,69.1
1981,33,34.4,40.3,54.1,54.8,68.4
1982,27.5,31.3,40.7,47.1,55.2,61.4
1983,33.4,36.5,38,41.2,52.4,62.4
1984,25.2,34.2,38,42.7,58.9,64.2
1985,24.5,26.3,41.1,51.8,59.6,66
1986,36.1,35.6,46.4,49,56.2,68.3
1987,31.2,35.1,37.2,51,58.3,67.1
1988,24.4,32.5,38.2,48.7,58.4,70.2
1989,32.1,21.5,41.1,50.4,58.3,63.9
1990,34.7,32.2,37.3,48.2,55,69.4
1991,25.6,38,42,47.8,58.5,66.1
1992,31.5,39.3,42.8,52.8,58.8,64.1
1993,24.8,27.9,42,47.4,58,64
1994,33,29.3,43.1,48.3,60.9,69.8
1995,31.8,36.6,40.9,44.3,50.8,62.8
1996,27.6,33.7,37.6,49.6,57.8,67
1997,27.3,32.2,42.9,43.2,57.7,67
1998,34,35.7,38.7,47.6,59.7,62.9
1999,34.8,39.7,44,45.2,56.1,64.7
2000,33.9,39.3,42.9,51.8,61.5,66.4
2001,31.1,30.7,40.4,50.8,57.3,68.4
2002,29.7,34.2,36,51.8,56.4,71.3
2003,37.3,30.2,42.3,50.6,58.4,63.5
2004,32.6,32.2,47.5,49.8,60.4,63.8
2005,32.9,37.2,42.1,48.5,57.5,66.2
2006,38.1,31.9,39.2,53.3,60.6,71.6
2007,23.6,32,46.5,48.2,58.4,68.5
2008,27.2,35.6,40.8,47.5,56.9,66.1
2009,34.4,37.8,42.6,47.4,59.5,63.7
2010,30,29.5,42.4,49,54.9,68.1
2011,30.1,29.6,44.1,49,53.3,67.4
2012,36.6,32.3,49.9,54.8,60.3,72.6
2013,30.5,31.6,39.8,43.7,58.1,70.3
2014,32.4,29.2,42.1,50.1,57.9,66.7
2015,34.55,36.05,45.8,49.75,52.75,69.75
2016,31.35,38.35,43.15,49.25,54.75,71.3
2017,30.3,40.5,48.5,50.2,56.6,68.9
2018,33.9,30.6,43.9,49,60.2,70.8
2019,33.3,29.6,36.52,50.18,51.92,65.2
2020,35.01,31.12,42.61,,,
