"common_name","year","state_code","county","observation_date"
"Cinnamon Teal",1970,"US-CO","Pueblo",1970-03-22
"Yellow-headed Blackbird",1970,"US-CO","Arapahoe",1970-04-12
"Say's Phoebe",1970,"US-CO","Arapahoe",1970-04-18
"Barn Swallow",1970,"US-CO","Jefferson",1970-04-19
"Turkey Vulture",1970,"US-CO","Jefferson",1970-04-19
"Swainson's Hawk",1970,"US-CO","Jefferson",1970-04-25
"Burrowing Owl",1970,"US-CO","Pueblo",1970-04-29
"Yellow Warbler",1970,"US-CO","Jefferson",1970-05-07
"Broad-tailed Hummingbird",1970,"US-CO","Jefferson",1970-05-09
"Mountain Plover",1970,"US-CO","Baca",1970-05-15
"Burrowing Owl",1971,"US-CO","Arapahoe",1971-04-04
"Yellow-headed Blackbird",1971,"US-CO","Boulder",1971-04-10
"Cinnamon Teal",1971,"US-CO","Boulder",1971-04-10
"Say's Phoebe",1971,"US-CO","Jefferson",1971-04-17
"Turkey Vulture",1971,"US-CO","Huerfano",1971-04-17
"Swainson's Hawk",1971,"US-CO","Huerfano",1971-04-17
"Barn Swallow",1971,"US-CO","Jefferson",1971-04-17
"Yellow Warbler",1971,"US-CO","Jefferson",1971-05-02
"Mountain Plover",1971,"US-CO","Park",1971-05-11
"Broad-tailed Hummingbird",1971,"US-CO","Otero",1971-05-15
"Cinnamon Teal",1972,"US-CO","Larimer",1972-03-14
"Barn Swallow",1972,"US-CO","Pueblo",1972-03-26
"Say's Phoebe",1972,"US-CO","Pueblo",1972-03-30
"Yellow-headed Blackbird",1972,"US-CO","Larimer",1972-04-05
"Turkey Vulture",1972,"US-CO","Jefferson",1972-04-08
"Swainson's Hawk",1972,"US-CO","Douglas",1972-04-14
"Burrowing Owl",1972,"US-CO","Arapahoe",1972-04-29
"Broad-tailed Hummingbird",1972,"US-CO","Jefferson",1972-04-29
"Yellow Warbler",1972,"US-CO","Jefferson",1972-04-30
"Mountain Plover",1972,"US-CO","Baca",1972-05-07
"Cinnamon Teal",1973,"US-CO","Larimer",1973-03-25
"Say's Phoebe",1973,"US-CO","Arapahoe",1973-04-08
"Yellow-headed Blackbird",1973,"US-CO","Larimer",1973-04-11
"Barn Swallow",1973,"US-CO","Larimer",1973-04-21
"Turkey Vulture",1973,"US-CO","Pueblo",1973-04-22
"Burrowing Owl",1973,"US-CO","Jefferson",1973-04-28
"Swainson's Hawk",1973,"US-CO","Pueblo",1973-04-29
"Broad-tailed Hummingbird",1973,"US-CO","Jefferson",1973-04-29
"Mountain Plover",1973,"US-CO","Baca",1973-05-04
"Yellow Warbler",1973,"US-CO","Baca",1973-05-04
"Cinnamon Teal",1974,"US-CO","Boulder",1974-03-10
"Say's Phoebe",1974,"US-CO","Pueblo",1974-03-15
"Mountain Plover",1974,"US-CO","Las Animas",1974-03-28
"Burrowing Owl",1974,"US-CO","Arapahoe",1974-03-31
"Yellow-headed Blackbird",1974,"US-CO","Larimer",1974-04-12
"Turkey Vulture",1974,"US-CO","Jefferson",1974-04-14
"Barn Swallow",1974,"US-CO","Pueblo",1974-04-19
"Swainson's Hawk",1974,"US-CO","Baca",1974-04-20
"Broad-tailed Hummingbird",1974,"US-CO","Jefferson",1974-04-27
"Yellow Warbler",1974,"US-CO","Pueblo",1974-05-08
"Cinnamon Teal",1975,"US-CO","Pueblo",1975-03-02
"Burrowing Owl",1975,"US-CO","Otero",1975-04-05
"Turkey Vulture",1975,"US-CO","Pueblo",1975-04-05
"Barn Swallow",1975,"US-CO","Boulder",1975-04-10
"Yellow-headed Blackbird",1975,"US-CO","Boulder",1975-04-10
"Say's Phoebe",1975,"US-CO","Pueblo",1975-04-15
"Swainson's Hawk",1975,"US-CO","Boulder",1975-04-16
"Mountain Plover",1975,"US-CO","Baca",1975-04-25
"Yellow Warbler",1975,"US-CO","Jefferson",1975-05-02
"Broad-tailed Hummingbird",1975,"US-CO","Jefferson",1975-05-02
"Cinnamon Teal",1976,"US-CO","Otero",1976-04-02
"Yellow-headed Blackbird",1976,"US-CO","Larimer",1976-04-03
"Turkey Vulture",1976,"US-CO","Boulder",1976-04-04
"Burrowing Owl",1976,"US-CO","Otero",1976-04-10
"Swainson's Hawk",1976,"US-CO","Otero",1976-04-10
"Say's Phoebe",1976,"US-CO","Douglas",1976-04-10
"Mountain Plover",1976,"US-CO","Yuma",1976-04-11
"Barn Swallow",1976,"US-CO","Yuma",1976-04-11
"Yellow Warbler",1976,"US-CO","Jefferson",1976-04-18
"Broad-tailed Hummingbird",1976,"US-CO","Boulder",1976-05-10
"Cinnamon Teal",1977,"US-CO","Adams",1977-03-27
"Burrowing Owl",1977,"US-CO","Weld",1977-04-09
"Mountain Plover",1977,"US-CO","Weld",1977-04-09
"Say's Phoebe",1977,"US-CO","Boulder",1977-04-10
"Yellow-headed Blackbird",1977,"US-CO","Douglas",1977-04-17
"Swainson's Hawk",1977,"US-CO","Rio Grande",1977-04-23
"Broad-tailed Hummingbird",1977,"US-CO","Jefferson",1977-04-30
"Turkey Vulture",1977,"US-CO","Jefferson",1977-04-30
"Barn Swallow",1977,"US-CO","Jefferson",1977-04-30
"Yellow Warbler",1977,"US-CO","Jefferson",1977-05-06
"Cinnamon Teal",1978,"US-CO","Jefferson",1978-03-31
"Barn Swallow",1978,"US-CO","Jefferson",1978-04-22
"Broad-tailed Hummingbird",1978,"US-CO","Jefferson",1978-04-22
"Turkey Vulture",1978,"US-CO","Jefferson",1978-04-22
"Swainson's Hawk",1978,"US-CO","Jefferson",1978-04-22
"Yellow-headed Blackbird",1978,"US-CO","Douglas",1978-04-30
"Burrowing Owl",1978,"US-CO","Arapahoe",1978-05-06
"Say's Phoebe",1978,"US-CO","Arapahoe",1978-05-06
"Yellow Warbler",1978,"US-CO","Jefferson",1978-05-11
"Mountain Plover",1978,"US-CO","Weld",1978-06-13
"Cinnamon Teal",1979,"US-CO","Boulder",1979-03-15
"Barn Swallow",1979,"US-CO","Boulder",1979-04-10
"Yellow-headed Blackbird",1979,"US-CO","Boulder",1979-04-10
"Say's Phoebe",1979,"US-CO","Baca",1979-04-13
"Swainson's Hawk",1979,"US-CO","Boulder",1979-04-15
"Turkey Vulture",1979,"US-CO","Boulder",1979-04-15
"Burrowing Owl",1979,"US-CO","Jefferson",1979-04-21
"Broad-tailed Hummingbird",1979,"US-CO","Jefferson",1979-04-29
